year	low	share	cumul
2014	0.00000	0.00000	0.00000
2014	0.01000	0.00000	0.00000
2014	0.02000	0.00000	0.00000
2014	0.03000	0.00000	0.00000
2014	0.04000	0.00001	0.00002
2014	0.05000	0.00005	0.00006
2014	0.06000	0.00011	0.00018
2014	0.07000	0.00022	0.00039
2014	0.08000	0.00038	0.00078
2014	0.09000	0.00060	0.00137
2014	0.10000	0.00082	0.00219
2014	0.11000	0.00105	0.00324
2014	0.12000	0.00129	0.00454
2014	0.13000	0.00155	0.00609
2014	0.14000	0.00181	0.00790
2014	0.15000	0.00208	0.00998
2014	0.16000	0.00235	0.01234
2014	0.17000	0.00263	0.01497
2014	0.18000	0.00290	0.01786
2014	0.19000	0.00316	0.02102
2014	0.20000	0.00341	0.02443
2014	0.21000	0.00365	0.02808
2014	0.22000	0.00388	0.03196
2014	0.23000	0.00410	0.03606
2014	0.24000	0.00432	0.04038
2014	0.25000	0.00453	0.04491
2014	0.26000	0.00473	0.04964
2014	0.27000	0.00493	0.05457
2014	0.28000	0.00513	0.05970
2014	0.29000	0.00531	0.06501
2014	0.30000	0.00549	0.07050
2014	0.31000	0.00566	0.07616
2014	0.32000	0.00581	0.08197
2014	0.33000	0.00596	0.08793
2014	0.34000	0.00611	0.09404
2014	0.35000	0.00625	0.10028
2014	0.36000	0.00638	0.10666
2014	0.37000	0.00652	0.11318
2014	0.38000	0.00665	0.11984
2014	0.39000	0.00679	0.12662
2014	0.40000	0.00692	0.13354
2014	0.41000	0.00705	0.14059
2014	0.42000	0.00718	0.14776
2014	0.43000	0.00730	0.15507
2014	0.44000	0.00743	0.16250
2014	0.45000	0.00756	0.17006
2014	0.46000	0.00768	0.17774
2014	0.47000	0.00781	0.18555
2014	0.48000	0.00794	0.19348
2014	0.49000	0.00806	0.20155
2014	0.50000	0.00819	0.20974
2014	0.51000	0.00832	0.21805
2014	0.52000	0.00844	0.22649
2014	0.53000	0.00857	0.23506
2014	0.54000	0.00870	0.24376
2014	0.55000	0.00882	0.25258
2014	0.56000	0.00895	0.26153
2014	0.57000	0.00908	0.27062
2014	0.58000	0.00922	0.27983
2014	0.59000	0.00935	0.28919
2014	0.60000	0.00949	0.29868
2014	0.61000	0.00963	0.30831
2014	0.62000	0.00978	0.31808
2014	0.63000	0.00992	0.32801
2014	0.64000	0.01008	0.33808
2014	0.65000	0.01024	0.34832
2014	0.66000	0.01041	0.35873
2014	0.67000	0.01058	0.36931
2014	0.68000	0.01076	0.38007
2014	0.69000	0.01094	0.39101
2014	0.70000	0.01113	0.40215
2014	0.71000	0.01133	0.41347
2014	0.72000	0.01153	0.42500
2014	0.73000	0.01173	0.43674
2014	0.74000	0.01195	0.44868
2014	0.75000	0.01217	0.46085
2014	0.76000	0.01240	0.47325
2014	0.77000	0.01264	0.48590
2014	0.78000	0.01290	0.49880
2014	0.79000	0.01317	0.51197
2014	0.80000	0.01347	0.52544
2014	0.81000	0.01378	0.53922
2014	0.82000	0.01412	0.55333
2014	0.83000	0.01448	0.56782
2014	0.84000	0.01488	0.58270
2014	0.85000	0.01531	0.59801
2014	0.86000	0.01578	0.61378
2014	0.87000	0.01629	0.63007
2014	0.88000	0.01686	0.64693
2014	0.89000	0.01749	0.66442
2014	0.90000	0.01822	0.68264
2014	0.91000	0.01906	0.70170
2014	0.92000	0.02005	0.72175
2014	0.93000	0.02126	0.74301
2014	0.94000	0.02278	0.76578
2014	0.95000	0.02483	0.79061
2014	0.96000	0.02784	0.81845
2014	0.97000	0.03273	0.85118
2014	0.98000	0.04251	0.89369
2014	0.99	0.10634	1.00000
